technology;co2_var;co2_fix;eta_elec;eta_th;eta_el_chp;eta_th_chp;eta_chp_flex_el;sigma_chp;beta_chp;opex_var;opex_fix;capex;c_rate_in;c_rate_out;eta_in;eta_out;cap_loss;lifetime;wacc
lignite;0.3996;17.61;0.434;- ;0.265;0.595;0.36;1.65;0.12;1.6;opex [€/MW*a] 2015;capex [€/MW] 2015;- ;- ;- ;- ;- ;40;0.069
hard_coal;0.33012;11.66;0.39;- ;0.265;0.595;0.36;1.65;0.12;11.4;0;0;- ;- ;- ;- ;- ;40;0.069
natural_gas;0.20016;4.85;0.391;- ;0.24;0.535;0.33;0.5;0.12;28.7;0;0;- ;- ;- ;- ;- ;30;0.069
natural_gas_cc;0.20016;5.93;0.602;- ;0.375;0.47;0.42;2.1;0.12;28.7;0;0;- ;- ;- ;- ;- ;30;0.069
oil;0.27;9.52;0.391;- ;0.265;0.595;0.36;1.65;0.12;46.82;0;0;- ;- ;- ;- ;- ;30;0.069
waste;0.1377;11.66;0.15;- ;0.09;0.26;0.09;0.346;0.12;7;0;0;- ;- ;- ;- ;- ;30;0.069
biomass;0.06245;11.66;0.455;- ;0.265;0.595;0.36;1.65;0.12;21.6;0;0;- ;- ;- ;- ;- ;20;0.041
bhkw;0.06245;365.75;- ;- ;0.3;0.575;- ;- ;- ;21.6;0;0;- ;- ;- ;- ;- ;20;0.028
wind_power ;- ;31.73;- ;- ;- ;- ;- ;- ;- ;- ;30000;950000;- ;- ;- ;- ;- ;20;0.038
wind_offshore;- ;65.09;- ;- ;- ;- ;- ;- ;- ;- ;40000;1269000;- ;- ;- ;- ;- ;20;0.077
solar_power;- ;130.68;- ;- ;- ;- ;- ;- ;- ;- ;259500;3815000;- ;- ;- ;- ;- ;25;0.028
hydro_power;- ;117.84;- ;- ;- ;- ;- ;- ;- ;- ;80000;2868000;- ;- ;- ;- ;- ;60;0.069
heat_rod;- ;64.2;- ;0.95;- ;- ;- ;- ;- ;- ;60000;300000;- ;- ;- ;- ;- ;20;0.028
import_el;0;- ;- ;- ;- ;- ;- ;- ;- ;15;- ;- ;- ;- ;- ;- ;- ;;
lignite_dec;0.3996;45.2;- ;0.75;- ;- ;- ;- ;- ;1.6;0;0;- ;- ;- ;- ;- ;20;0.028
lignite_dec_ind;0.3996;45.2;- ;0.85;- ;- ;- ;- ;- ;1.6;0;0;- ;- ;- ;- ;- ;20;0.028
hard_coal_dec;0.33012;45.2;- ;0.75;- ;- ;- ;- ;- ;11.4;22980;574000;- ;- ;- ;- ;- ;20;0.028
hard_coal_dec_ind;0.33012;45.2;- ;0.85;- ;- ;- ;- ;- ;11.4;22980;574000;- ;- ;- ;- ;- ;20;0.028
natural_gas_dec;0.20016;57.3;- ;0.88;- ;- ;- ;- ;- ;28.7;22980;574000;- ;- ;- ;- ;- ;20;0.028
oil_dec;0.27;39.7;- ;0.84;- ;- ;- ;- ;- ;46.82;20000;485000;- ;- ;- ;- ;- ;20;0.028
other_dec;0.1377;45.2;- ;0.35;- ;- ;- ;- ;- ;11.4;22980;574000;- ;- ;- ;- ;- ;20;0.028
biomass_dec;0.06245;32.5;- ;0.77;- ;- ;- ;- ;- ;21.6;0;0;- ;- ;- ;- ;- ;20;0.028
biomass_dec_ind;0.06245;32.5;- ;0.88;- ;- ;- ;- ;- ;21.6;0;0;- ;- ;- ;- ;- ;20;0.028
solar_heat_dec;0;37.41;- ;- ;- ;- ;- ;- ;- ;- ;21000;647000;- ;- ;- ;- ;- ;20;0.028
heat_pump_dec;strom;40.7;- ;- ;- ;- ;- ;- ;- ;- ;11830;591000;- ;- ;- ;- ;- ;20;0.028
el_heat_dec;strom;0;- ;- ;- ;- ;- ;- ;- ;- ;nur status quo;nur status quo;- ;- ;- ;- ;- ;;
heat_rod_dec;strom;64.2;- ;0.95;- ;- ;- ;- ;- ;- ;60000;1861500;- ;- ;- ;- ;- ;20;0.028
pumped_storage;- ;125;- ;- ;- ;- ;- ;- ;- ;- ;30000;1500000;1;1;0.92195;0.92195;0;20;0.028
heat_storage;- ;wie dezentral;- ;- ;- ;- ;- ;- ;- ;- ;28.58;1429;1;1;0.95;0.95;0;lifetime;WACC
heat_storage_dec;- ;wie dezentral;- ;- ;- ;- ;- ;- ;- ;- ;180;9000;1;1;0.95;0.95;0;20;0.069
el_storage;- ;wie dezentral;- ;- ;- ;- ;- ;- ;- ;- ;843.3333333;42166.66667;1;1;0.95;0.95;0;20;0.028
el_storage_dec;- ;wie dezentral;- ;- ;- ;- ;- ;- ;- ;- ;8650.2;432510;1;1;0.95;0.95;0;20;0.069
transmission;- ;- ;0.985;- ;- ;- ;- ;- ;- ;;;;- ;- ;- ;- ;- ;- ;- 
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
